date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:43	8010/8010	U--MCZ	200	updated ('OK')	text/html	etag:W/%221f4a-uIWEL1ffOPsFn4r2GktZqrzSPxQ%22	http://192.168.1.100:8082/share/	/app/web/index.html	(from )
12:23:43	683/683	U-----	200	untouched ('')	application/javascript	etag:W/%222ab-18fc7df0950%22	http://192.168.1.100:8082/assets/v0.63.7/app-dist/share.js	/app/web/js/share.js	(from http://192.168.1.100:8082/share/)
12:23:43	1861/1861	U-----	200	untouched ('OK')	text/css	etag:W/%22745-18fc7dde458%22	http://192.168.1.100:8082/assets/v0.63.7/libraries/normalize.min.css	/app/web/css/normalize.min.css	(from http://192.168.1.100:8082/share/)
12:23:43	2450/2450	U-----	200	untouched ('OK')	text/css	etag:W/%22992-18fc7dde458%22	http://192.168.1.100:8082/assets/v0.63.7/stylesheets/share.css	/app/web/css/share.css	(from http://192.168.1.100:8082/share/)
12:23:43	17598/17598	U-----	200	untouched ('OK')	text/css	etag:W/%2244be-18fc7dde458%22	http://192.168.1.100:8082/assets/v0.63.7/libraries/ckeditor/ckeditor-content.css	/app/web/css/ckeditor-content.css	(from http://192.168.1.100:8082/share/)
12:23:44	6692/6692	U--MCZ	200	updated ('OK')	text/html	etag:W/%221a24-lbAIxfUsyQK4vlKajv+FQ8kzaAQ%22	http://192.168.1.100:8082/share/distributed-locks	/app/web/distributed-locks.html	(from http://192.168.1.100:8082/share/)
12:23:44	5570/5570	U--MCZ	200	updated ('OK')	text/html	etag:W/%2215c2-vpNkWGxfHIWCuSwXu2m+oh5sTQI%22	http://192.168.1.100:8082/share/FzacAiUFUJh2	/app/web/fzacaiufujh2.html	(from http://192.168.1.100:8082/share/)
12:23:44	7097/7097	U--MCZ	200	updated ('OK')	text/html	etag:W/%221bb9-LvDsTtaXGPjhWgCNJgPV09MSras%22	http://192.168.1.100:8082/share/load-balancer-vs-api-gateway	/app/web/load-balancer-vs-api-gateway.html	(from http://192.168.1.100:8082/share/)
12:23:44	113456/113456	U--MCZ	200	updated ('OK')	image/x-icon	etag:%221bb30-uX5EGsV/yDWfbYIHQU6YANFwZSg%22	http://192.168.1.100:8082/favicon.ico	/app/web/ico/favicon.ico	(from http://192.168.1.100:8082/share/)
12:23:45	3957/3957	U--MCZ	200	updated ('OK')	text/html	etag:W/%22f75-8T/kXzj0y1E9XIz7ZOmWP7R0Jl8%22	http://192.168.1.100:8082/share/rFwMC4NJlBIj	/app/web/rfwmc4njlbij.html	(from http://192.168.1.100:8082/share/)
12:23:45	4147/4147	U--MCZ	200	updated ('OK')	text/html	etag:W/%221033-qRaCRb35Gv6ivjtS00MEtq5cdeI%22	http://192.168.1.100:8082/share/pZJ3uowXw48j	/app/web/pzj3uowxw48j.html	(from http://192.168.1.100:8082/share/)
12:23:45	4756/4756	U--MCZ	200	updated ('OK')	text/html	etag:W/%221294-1rl3JcwftShG8Vnb3JRfoFi1dyM%22	http://192.168.1.100:8082/share/building-second-brain	/app/web/building-second-brain.html	(from http://192.168.1.100:8082/share/)
12:23:45	6405/6405	U--MCZ	200	updated ('OK')	text/html	etag:W/%221905-nw3Rbcc0p4aCloST6BWKI/RcCq0%22	http://192.168.1.100:8082/share/short-note-how-to-win-friends-and-influence-people	/app/web/short-note-how-to-win-friends-and-influence-people.html	(from http://192.168.1.100:8082/share/)
12:23:46	5743/5743	U--MCZ	200	updated ('OK')	text/html	etag:W/%22166f-exICsuhpYP83WFg7mlgtZmSB4+s%22	http://192.168.1.100:8082/share/databases-memory-and-disks	/app/web/databases-memory-and-disks.html	(from http://192.168.1.100:8082/share/)
12:23:46	5139/5139	U--MCZ	200	updated ('OK')	text/html	etag:W/%221413-BvHxsejPKTp9TEnxhSK6B+KkU5I%22	http://192.168.1.100:8082/share/vxQCxquoOXDG	/app/web/vxqcxquooxdg.html	(from http://192.168.1.100:8082/share/)
12:23:46	6459/6459	U--MCZ	200	updated ('OK')	text/html	etag:W/%22193b-6QwvWuACFpcpQEKaWLemeLVo20w%22	http://192.168.1.100:8082/share/understanding-olap-and-oltp	/app/web/understanding-olap-and-oltp.html	(from http://192.168.1.100:8082/share/)
12:23:46	6357/6357	U--MCZ	200	updated ('OK')	text/html	etag:W/%2218d5-CxBTAfl5kwpWmH99Vf0gWsxYs/Q%22	http://192.168.1.100:8082/share/storing-values-within-index	/app/web/storing-values-within-index.html	(from http://192.168.1.100:8082/share/)
12:23:47	4351/4351	U--MCZ	200	updated ('OK')	text/html	etag:W/%2210ff-+G4Pybd2W/ELvQDWfZbwkM35KHE%22	http://192.168.1.100:8082/share/multi-column-index	/app/web/multi-column-index.html	(from http://192.168.1.100:8082/share/)
12:23:47	9586/9586	U--MCZ	200	updated ('OK')	text/html	etag:W/%222572-odxMp2Tj7UL7CrNry1G8lnUarJk%22	http://192.168.1.100:8082/share/LERcINhON6LB	/app/web/lercinhon6lb.html	(from http://192.168.1.100:8082/share/)
12:23:47	37747/37747	U--MCZ	200	updated ('OK')	text/html	etag:W/%229373-lkIX0oDkB4vONCxBrm4BabJTZ9c%22	http://192.168.1.100:8082/share/read-book	/app/web/read-book.html	(from http://192.168.1.100:8082/share/)
12:23:47	4567/4567	U--MCZ	200	updated ('OK')	text/html	etag:W/%2211d7-YqO5mhL/AnBGQFdHuD6/Gklk65M%22	http://192.168.1.100:8082/share/lAON4YJqbTIg	/app/web/laon4yjqbtig.html	(from http://192.168.1.100:8082/share/)
12:23:50	27496/27496	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%226b68-2Wx7mbXSRlKYXpdo/bQh//UANo4%22	http://192.168.1.100:8082/share/api/images/lAON4YJqbTIg/Mindmap?2024-10-27%2005:51:17.016Z	/app/web/svg/mindmap49a8.svg	(from http://192.168.1.100:8082/share/lAON4YJqbTIg)
12:23:50	27364/27364	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%226ae4-Edw429imY9e+UX9ifNBqu9+rWm8%22	http://192.168.1.100:8082/share/api/attachments/w2BAJEa49wnH/image/Mindmap.svg	/app/web/svg/mindmap.svg	(from http://192.168.1.100:8082/share/storing-values-within-index)
12:23:50	8346/8346	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%22209a-8nukFx5iDLGVsgeV3KnBw0e1RFQ%22	http://192.168.1.100:8082/share/api/attachments/PetBzlxCYaEg/image/Message%20Flow.svg	/app/web/svg/message%20flow.svg	(from http://192.168.1.100:8082/share/LERcINhON6LB)
12:23:55	130694/130694	U--M--	200	updated ('OK')	image/jpg	etag:W/%221fe86-7J40m+fyW2FN+NpZiHSSfgUXUeM%22	http://192.168.1.100:8082/share/api/attachments/ltdEJ4oIaMmS/image/IMG_4174.JPG	/app/web/jpg/img_4174.jpg	(from http://192.168.1.100:8082/share/vxQCxquoOXDG)
12:24:01	202260/202260	U--M--	200	updated ('OK')	image/jpg	etag:W/%2231614-LsNqmvPRanufeDUPgExlHrKD0uc%22	http://192.168.1.100:8082/share/api/attachments/47HjGCwaAD2c/image/XD7J-loadbalancerdiagram.png	/app/web/png/xd7j-loadbalancerdiagram.png	(from http://192.168.1.100:8082/share/load-balancer-vs-api-gateway)
12:24:01	238502/238502	U--M--	200	updated ('OK')	image/jpg	etag:W/%223a3a6-o0wzIZJg2HrXKiILU5Lo+tYnP1w%22	http://192.168.1.100:8082/share/api/attachments/mW637zsMYTCi/image/zDyf-apigatewayflowdiagram.png	/app/web/png/zdyf-apigatewayflowdiagram.png	(from http://192.168.1.100:8082/share/load-balancer-vs-api-gateway)
