date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:36	3045/3045	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2014:39:35%20GMT	https://home.amgoyal.com/trilium/share/	/app/home.amgoyal.com/trilium/share/index.html	(from )
14:39:36	49/49	---M-Z	200	added ('OK')	text/plain	date:Wed,%2016%20Oct%202024%2019:28:24%20GMT	https://home.amgoyal.com/robots.txt		(from )
14:39:37	683/683	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ab-18fc7df0950%22	https://home.amgoyal.com/trilium/assets/v0.63.7/app-dist/share.js	/app/home.amgoyal.com/trilium/assets/v0.63.7/app-dist/share.js	(from https://home.amgoyal.com/trilium/share/)
14:39:38	113456/113456	---MCZ	200	added ('OK')	image/x-icon	etag:%221bb30-uX5EGsV/yDWfbYIHQU6YANFwZSg%22	https://home.amgoyal.com/trilium/favicon.ico	/app/home.amgoyal.com/trilium/favicon.ico	(from https://home.amgoyal.com/trilium/share/)
14:39:38	1861/1861	---M-Z	200	added ('OK')	text/css	etag:W/%22745-18fc7dde458%22	https://home.amgoyal.com/trilium/assets/v0.63.7/libraries/normalize.min.css	/app/home.amgoyal.com/trilium/assets/v0.63.7/libraries/normalize.min.css	(from https://home.amgoyal.com/trilium/share/)
14:39:39	2450/2450	---M-Z	200	added ('OK')	text/css	etag:W/%22992-18fc7dde458%22	https://home.amgoyal.com/trilium/assets/v0.63.7/stylesheets/share.css	/app/home.amgoyal.com/trilium/assets/v0.63.7/stylesheets/share.css	(from https://home.amgoyal.com/trilium/share/)
14:39:40	17598/17598	---M-Z	200	added ('OK')	text/css	etag:W/%2244be-18fc7dde458%22	https://home.amgoyal.com/trilium/assets/v0.63.7/libraries/ckeditor/ckeditor-content.css	/app/home.amgoyal.com/trilium/assets/v0.63.7/libraries/ckeditor/ckeditor-content.css	(from https://home.amgoyal.com/trilium/share/)
14:39:42	6980/6980	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2014:39:41%20GMT	https://home.amgoyal.com/trilium/share/load-balancer-vs-api-gateway	/app/home.amgoyal.com/trilium/share/load-balancer-vs-api-gateway.html	(from https://home.amgoyal.com/trilium/share/)
14:39:43	8756/8756	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2014:39:42%20GMT	https://home.amgoyal.com/trilium/share/LERcINhON6LB	/app/home.amgoyal.com/trilium/share/LERcINhON6LB.html	(from https://home.amgoyal.com/trilium/share/)
14:39:44	3153/3153	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2014:39:43%20GMT	https://home.amgoyal.com/trilium/share/tQXmL7PfWRFx	/app/home.amgoyal.com/trilium/share/tQXmL7PfWRFx.html	(from https://home.amgoyal.com/trilium/share/)
14:39:45	2618/2618	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2014:39:44%20GMT	https://home.amgoyal.com/trilium/share/cqRORdZEEaL4	/app/home.amgoyal.com/trilium/share/cqRORdZEEaL4.html	(from https://home.amgoyal.com/trilium/share/)
